"","from","to","from_id","to_id","freq","from_lat","from_long","to_lat","to_long"
"137","2nd Ave & Spring St","2nd Ave & Pine St","CBD-06","CBD-13",203,47.60595,-122.335768,47.610185,-122.339641
"138","Dexter Ave & Denny Way","Dexter Ave N & Aloha St","SLU-18","SLU-02",202,47.618285,-122.342205,47.627735,-122.342232
"139","15th Ave E & E Thomas St","Pine St & 9th Ave","CH-05","SLU-16",200,47.620712,-122.312805,47.613715,-122.331777
"140","15th Ave NE & NE 40th St","Eastlake Ave E & E Allison St","UW-04","EL-05",200,47.65559,-122.31189,47.64909,-122.322983
"141","Cal Anderson Park / 11th Ave & Pine St","Seattle University / E Columbia St & 12th Ave","CH-08","FH-04",199,47.615486,-122.318245,47.609239,-122.316651
"142","Key Arena / 1st Ave N & Harrison St","2nd Ave & Pine St","SLU-19","CBD-13",199,47.622277,-122.35523,47.610185,-122.339641
"143","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE","15th Ave NE & NE 40th St","UD-01","UW-04",198,47.666145,-122.301491,47.65559,-122.31189
"144","UW McCarty Hall / Whitman Ct","UW Engineering Library / E Stevens Way NE & Jefferson Rd","UW-01","UW-06",196,47.660268,-122.304826,47.654613,-122.304863
"145","Occidental Park / Occidental Ave S & S Washington St","Westlake Ave & 6th Ave","PS-04","SLU-15",195,47.600757,-122.332946,47.613628,-122.337341
"146","12th Ave & E Denny Way","Pine St & 9th Ave","CH-06","SLU-16",194,47.618549,-122.317017,47.613715,-122.331777
"147","2nd Ave & Vine St","1st Ave & Marion St","BT-03","CBD-05",194,47.615829,-122.348564,47.604058,-122.3358
"148","PATH / 9th Ave & Westlake Ave","2nd Ave & Pine St","SLU-07","CBD-13",194,47.61832,-122.338913,47.610185,-122.339641
"149","PATH / 9th Ave & Westlake Ave","3rd Ave & Broad St","SLU-07","BT-01",194,47.61832,-122.338913,47.618418,-122.350964
"150","UW Intramural Activities Building","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE","UW-07","UD-01",194,47.653713,-122.302162,47.666145,-122.301491
"151","2nd Ave & Blanchard St","PATH / 9th Ave & Westlake Ave","BT-05","SLU-07",192,47.61311,-122.344208,47.61832,-122.338913
"152","Eastlake Ave E & E Allison St","Lake Union Park / Valley St & Boren Ave N","EL-05","SLU-17",192,47.64909,-122.322983,47.626041,-122.335831
"153","E Pine St & 16th Ave","Occidental Park / Occidental Ave S & S Washington St","CH-07","PS-04",191,47.61533,-122.311752,47.600757,-122.332946
"154","E Pine St & 16th Ave","Harvard Ave & E Pine St","CH-07","CH-09",190,47.61533,-122.311752,47.615517,-122.322083
"155","Dexter Ave N & Aloha St","E Blaine St & Fairview Ave E","SLU-02","EL-03",189,47.627735,-122.342232,47.634831,-122.326634
"156","Harvard Ave & E Pine St","2nd Ave & Pine St","CH-09","CBD-13",188,47.615517,-122.322083,47.610185,-122.339641
"157","E Harrison St & Broadway Ave E","2nd Ave & Blanchard St","CH-02","BT-05",187,47.622063,-122.321251,47.61311,-122.344208
"158","Eastlake Ave E & E Allison St","12th Ave & NE Campus Pkwy","EL-05","UD-04",187,47.64909,-122.322983,47.656395,-122.31562
"159","1st Ave & Marion St","Westlake Ave & 6th Ave","CBD-05","SLU-15",186,47.604058,-122.3358,47.613628,-122.337341
"160","Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St","Westlake Ave & 6th Ave","EL-01","SLU-15",186,47.627643,-122.332576,47.613628,-122.337341
"161","E Blaine St & Fairview Ave E","Dexter Ave & Denny Way","EL-03","SLU-18",185,47.634831,-122.326634,47.618285,-122.342205
"162","Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St","3rd Ave & Broad St","EL-01","BT-01",184,47.627643,-122.332576,47.618418,-122.350964
"163","REI / Yale Ave N & John St","2nd Ave & Pine St","SLU-01","CBD-13",184,47.619859,-122.330304,47.610185,-122.339641
"164","City Hall / 4th Ave & James St","6th Ave S & S King St","CBD-07","ID-04",183,47.603509,-122.330409,47.598488,-122.326412
"165","E Blaine St & Fairview Ave E","9th Ave N & Mercer St","EL-03","DPD-01",183,47.634831,-122.326634,47.624298,-122.339617
"166","Westlake Ave & 6th Ave","Occidental Park / Occidental Ave S & S Washington St","SLU-15","PS-04",183,47.613628,-122.337341,47.600757,-122.332946
"167","15th Ave NE & NE 40th St","Burke-Gilman Trail / NE Blakeley St & 24th Ave NE","UW-04","UD-01",182,47.65559,-122.31189,47.666145,-122.301491
"168","2nd Ave & Vine St","Occidental Park / Occidental Ave S & S Washington St","BT-03","PS-04",182,47.615829,-122.348564,47.600757,-122.332946
"169","PATH / 9th Ave & Westlake Ave","REI / Yale Ave N & John St","SLU-07","SLU-01",182,47.61832,-122.338913,47.619859,-122.330304
